date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,1,900712,BF46,1147.0,0.0,5.8122638e-05,0.024411507,0.033536762,17.70619,21.741964,99.99884,99.81871,84.90846,final
2021-01-11,1,900712,BF46,1147.0,0.0,0.0,0.0069747167,0.008224353,3.3077593,10.14769,100.0,99.975044,54.84506,final
2021-01-21,1,900712,BF46,1147.0,0.0008718396,0.0008718396,0.0008718396,0.0009299622,1.4394071,1.9521071,100.0,99.99884,92.62526,final
2021-02-01,1,900712,BF46,1147.0,0.038360942,0.056960188,0.039232783,0.057832025,0.4638187,0.5081953,99.63221,99.63226,99.19435,final
2021-02-11,1,900712,BF46,1147.0,0.19790758,0.17337982,0.23714036,0.23121186,0.53966874,0.5041267,100.474106,100.113335,100.64574,final
2021-02-21,1,900712,BF46,1147.0,0.44899738,0.37201396,0.6852659,0.602354,0.9442023,0.82653296,101.43305,101.47995,102.01955,final
2021-03-01,1,900712,BF46,1147.0,1.1307759,1.0485034,1.7776809,1.5938971,1.8413252,1.6852659,101.360214,102.787186,102.33438,final
2021-03-11,1,900712,BF46,1147.0,1.1691369,1.6235688,2.7489102,3.044086,2.9930253,3.2835221,93.139175,96.33052,96.49308,final
2021-03-21,1,900712,BF46,1147.0,2.956408,2.2523685,5.256321,4.924441,5.9424586,5.5277247,109.707726,103.34407,103.93945,final
2021-04-01,1,900712,BF46,1147.0,1.0662599,3.7582679,5.191805,7.6342053,7.0087185,9.285934,69.26323,80.66835,84.05973,final
2021-04-11,1,900712,BF46,1147.0,2.0636442,5.037053,6.0863123,11.047689,9.072363,14.322988,70.37568,69.08354,72.82706,final
2021-04-21,1,900712,BF46,1147.0,7.78204,8.938187,10.911944,17.733507,16.85353,23.260302,91.705185,69.993355,77.32943,final
2021-05-01,1,900712,BF46,1147.0,20.537926,14.0805,30.38361,28.05574,37.353096,37.28384,133.84306,107.04225,100.163795,final
2021-05-11,1,900712,BF46,1147.0,32.507412,18.983551,60.827377,42.00224,69.6626,56.094013,156.38806,140.05157,122.20934,final
2021-05-21,1,900712,BF46,1147.0,28.823889,21.248852,81.869225,54.312904,98.0375,76.97085,128.85855,146.45923,125.70017,final
2021-06-01,1,900712,BF46,1147.0,36.454227,34.43621,97.78552,74.66862,133.36095,110.35856,105.117165,129.01633,119.93991,final
2021-06-11,1,900712,BF46,1147.0,25.139494,29.306946,90.41761,84.992004,157.33131,138.04193,87.852455,106.028984,113.48512,final
2021-06-21,1,900712,BF46,1147.0,56.586746,39.049404,118.180466,102.79256,210.96164,174.83897,139.8129,114.27548,120.08612,final
2021-07-01,1,900712,BF46,1147.0,53.556232,58.899418,135.28247,127.25577,263.45163,229.98012,91.63813,106.06908,114.2444,final
2021-07-11,1,900712,BF46,1147.0,27.378378,59.494305,137.52135,157.44313,288.76636,284.43738,50.20347,87.736145,101.49565,final
2021-07-21,1,900712,BF46,1147.0,92.606804,68.61183,173.54141,187.00555,373.59113,344.11102,132.59662,92.987625,108.444336,final
2021-08-01,1,900712,BF46,1147.0,114.16303,77.03246,234.14822,205.1386,467.21622,407.06296,145.26326,113.80499,114.59807,final
2021-08-11,1,900712,BF46,1147.0,66.29119,78.10064,273.06104,223.74493,501.0,466.18005,85.78899,121.55943,107.38995,final
2021-08-21,1,900712,BF46,1147.0,100.90933,82.536934,281.36356,237.67004,573.08545,527.46814,120.98817,118.005325,108.56714,final
2021-09-01,1,900712,BF46,1147.0,46.424587,53.4356,213.62512,214.07318,583.0558,546.4675,88.00216,99.79547,106.63471,final
2021-09-11,1,900712,BF46,1147.0,29.37402,42.818626,176.70795,178.79117,587.2903,559.97925,71.88416,98.86653,104.833984,final
2021-09-21,1,900712,BF46,1147.0,33.569313,35.397675,109.36792,131.6519,564.2729,556.3275,95.47409,83.69289,101.41546,final
2021-10-01,1,900712,BF46,1147.0,11.027027,17.261173,73.97036,95.47748,521.7437,514.6893,71.99543,78.595085,101.35744,final
2021-10-11,1,900712,BF46,1147.0,12.605928,12.1291485,57.20227,64.787994,506.97125,467.3241,102.78344,89.13033,108.394066,final
2021-10-21,1,900712,BF46,1147.0,12.593722,8.328916,36.226677,37.71924,426.95816,407.04117,131.99666,96.50611,104.83373,final
2021-11-01,1,900712,BF46,1147.0,1.6120313,1.4979657,26.811682,21.95603,314.40717,331.50668,101.7554,118.01323,94.91852,final
2021-11-11,1,900712,BF46,1147.0,0.38884047,0.18212728,14.594594,10.009009,248.50479,253.58817,103.98897,130.55222,98.03418,final
2021-11-21,1,900712,BF46,1147.0,0.08718396,0.04873583,2.0880558,1.7288288,147.68265,171.09998,100.76154,105.33862,86.702255,final
2021-12-01,1,900712,BF46,1147.0,0.23016565,0.19287997,0.70619005,0.4237431,101.48822,117.857254,100.71801,105.207596,86.67638,final
2021-12-11,1,900712,BF46,1147.0,0.012205754,0.025515838,0.32955536,0.26713166,72.12641,75.06414,99.73514,101.18516,96.33078,final
2021-12-21,1,900712,BF46,1147.0,0.0069747167,0.008340599,0.2493461,0.22673641,38.56408,39.674805,99.972725,100.43257,97.513756,final
2022-01-01,1,900712,BF46,1147.0,0.0,5.8122638e-05,0.019180471,0.033536762,27.537052,21.741964,99.99884,99.71478,121.67039,final
2022-01-11,1,900712,BF46,1147.0,0.0,0.0,0.0069747167,0.008224353,14.931125,10.14769,100.0,99.975044,131.57864,final
2022-01-21,1,900712,BF46,1147.0,0.0008718396,0.0008718396,0.0008718396,0.0009299622,2.338274,1.9521071,100.0,99.99884,105.55467,final
2022-02-01,1,900712,BF46,1147.0,0.04097646,0.056960188,0.041848302,0.057832025,0.7672188,0.5081953,99.68393,99.683975,104.70251,final
2022-02-11,1,900712,BF46,1147.0,0.16129032,0.17337982,0.20313862,0.23121186,0.5396687,0.5041267,99.76631,99.46336,100.64574,final
2022-02-21,1,900712,BF46,1147.0,0.45684394,0.37201396,0.6591107,0.602354,0.9093287,0.82653296,101.57911,101.01309,101.42101,final
2022-03-01,1,900712,BF46,1147.0,2.1813426,1.0485034,2.7994769,1.5938971,2.8605056,1.6852659,118.72925,118.28327,117.579544,final
2022-03-11,1,900712,BF46,1147.0,2.7890148,1.6235688,5.4272013,3.044086,5.637315,3.2835221,117.59544,129.62567,128.41537,final
2022-03-21,1,900712,BF46,1147.0,2.636443,2.2523685,7.6068,4.924441,8.266783,5.5277247,105.29585,127.027824,126.017555,final
2022-04-01,1,900712,BF46,1147.0,6.8134265,3.7582679,12.238884,7.6342053,15.08021,9.285934,134.88313,136.44614,140.55931,final
2022-04-11,1,900712,BF46,1147.0,7.7462945,5.037053,17.196163,11.047689,22.826504,14.322988,126.99239,138.31375,144.00726,final
2022-04-21,1,900712,BF46,1147.0,4.581517,8.938187,19.14124,17.733507,27.40715,23.260302,68.74293,106.19233,114.67376,final
2022-05-01,1,900712,BF46,1147.0,12.245859,14.0805,24.573671,28.05574,39.61203,37.28384,90.384735,89.46607,105.506096,final
2022-05-11,1,900712,BF46,1147.0,10.599826,18.983551,27.427204,42.00224,50.05057,56.094013,65.04385,68.99077,90.10796,final
2022-05-21,1,900712,BF46,1147.0,30.384481,21.248852,53.230164,54.312904,79.9782,76.97085,134.80392,98.17453,103.66881,final
2022-06-01,1,900712,BF46,1147.0,26.078466,34.43621,67.062775,74.66862,103.87533,110.35856,78.80693,90.453156,94.37993,final
2022-06-11,1,900712,BF46,1147.0,34.880558,29.306946,91.343506,84.992004,135.96687,138.04193,116.24631,107.057846,98.54934,final
2022-06-21,1,900712,BF46,1147.0,63.17001,39.049404,124.12903,102.79256,196.50044,174.83897,154.75809,119.794014,112.04492,final
2022-07-01,1,900712,BF46,1147.0,80.32955,58.899418,178.38013,127.25577,270.01657,229.98012,133.5373,138.65567,117.03822,final
2022-07-11,1,900712,BF46,1147.0,78.05754,59.494305,221.5571,157.44313,340.32782,284.43738,128.78275,139.46857,119.310036,final
2022-07-21,1,900712,BF46,1147.0,63.04708,68.61183,221.43417,187.00555,398.79337,344.11102,92.440414,117.93105,115.663315,final
