date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,1,900959,CM001,2080.0,0.31778845,0.2130609,0.5293269,0.47309294,132.79137,154.91756,102.00895,101.027466,86.164,final
2021-01-11,1,900959,CM001,2080.0,0.24182692,0.2439423,0.6644231,0.5551923,78.7471,84.62805,99.95966,101.96627,93.43849,final
2021-01-21,1,900959,CM001,2080.0,0.42067307,0.5205609,0.98028845,0.9775641,20.510578,24.311586,98.19062,100.045586,87.0324,final
2021-02-01,1,900959,CM001,2080.0,0.26826924,0.51011217,0.93076926,1.2746154,5.8658657,12.758013,95.61092,94.52005,61.188526,final
2021-02-11,1,900959,CM001,2080.0,0.4418269,1.0315865,1.1307693,2.0622597,4.4259615,7.893702,90.222145,86.81031,73.10516,final
2021-02-21,1,900959,CM001,2080.0,1.3658653,3.3622596,2.0759616,4.9039583,4.4086537,7.995433,76.12614,71.44579,72.3997,final
2021-03-01,1,900959,CM001,2080.0,6.2197113,10.833285,8.027404,15.227132,9.487499,16.97484,70.86155,64.405594,65.927666,final
2021-03-11,1,900959,CM001,2080.0,64.95625,17.05931,72.54183,31.254856,74.33702,33.872307,317.12802,213.87985,204.09651,final
2021-03-21,1,900959,CM001,2080.0,23.549038,18.697933,94.725006,46.59053,97.78125,52.47205,120.47058,193.30098,178.83693,final
2021-04-01,1,900959,CM001,2080.0,17.20673,30.250273,105.71202,66.007515,114.6702,82.50926,62.997322,155.91591,136.75146,final
2021-04-11,1,900959,CM001,2080.0,36.273075,40.4104,77.02884,89.358604,150.70143,122.67572,90.88904,86.933075,121.9507,final
2021-04-21,1,900959,CM001,2080.0,57.067307,47.111088,110.54711,117.77176,207.34807,169.26625,119.10576,94.11538,121.85266,final
2021-05-01,1,900959,CM001,2080.0,80.85288,68.09957,174.19327,155.62106,287.93268,236.8557,117.446495,111.562744,121.11878,final
2021-05-11,1,900959,CM001,2080.0,65.16923,65.155174,203.08942,180.36583,352.66006,300.97928,100.02003,112.25878,116.89029,final
2021-05-21,1,900959,CM001,2080.0,115.24279,70.84174,261.2649,204.0965,466.53702,368.45877,158.54434,127.340675,126.26214,final
2021-06-01,1,900959,CM001,2080.0,73.28125,72.69027,253.69327,208.6872,533.5985,430.31577,100.76069,121.06166,123.72594,final
2021-06-11,1,900959,CM001,2080.0,70.832214,66.749374,259.35626,210.28139,539.4745,480.00583,105.69042,122.79569,112.26143,final
2021-06-21,1,900959,CM001,2080.0,99.06442,66.773895,243.17789,206.21355,614.98987,528.0818,144.98924,117.50094,116.302956,final
