date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,1,2202,NE001,21441.0,0.0,0.0,0.0009794319,0.0015453259,0.3082879,0.3368686,100.0,99.98868,99.46447,final
2021-01-11,1,2202,NE001,21441.0,0.0,0.0,0.0009794319,0.00067161047,0.14700806,0.16160472,100.0,100.006165,99.7172,final
2021-01-21,1,2202,NE001,21441.0,4.6639616e-05,0.0024765637,4.6639616e-05,0.0024765637,0.03773145,0.04208137,99.95142,99.95142,99.913734,final
2021-02-01,1,2202,NE001,21441.0,0.23478383,0.23688571,0.23483047,0.23936228,0.25931627,0.2684825,99.95986,99.9135,99.82602,final
2021-02-11,1,2202,NE001,21441.0,0.29742083,0.29999223,0.5322513,0.5393545,0.54265195,0.5520389,99.951485,99.87177,99.830925,final
2021-02-21,1,2202,NE001,21441.0,0.21384265,0.21237504,0.74604726,0.749253,0.750478,0.7552944,100.02816,99.94424,99.916306,final
2021-03-01,1,2202,NE001,21441.0,0.16440465,0.17312936,0.6756681,0.6854966,0.911478,0.92640424,99.83135,99.827126,99.748146,final
2021-03-11,1,2202,NE001,21441.0,0.13143043,0.13584255,0.5096777,0.5213469,1.0429084,1.0613731,99.9141,99.78865,99.69537,final
2021-03-21,1,2202,NE001,21441.0,0.13842638,0.14048164,0.43426144,0.44945353,1.1803554,1.2011831,99.960014,99.721214,99.66413,final
2021-04-01,1,2202,NE001,21441.0,0.1242013,0.12894143,0.3940581,0.4052656,1.3045567,1.3301245,99.90758,99.792656,99.59609,final
2021-04-11,1,2202,NE001,21441.0,0.13497505,0.14633335,0.3976027,0.41575643,1.4395318,1.4764578,99.7793,99.6648,99.42985,final
2021-04-21,1,2202,NE001,21441.0,0.43789935,0.46101704,0.6970757,0.7362918,1.8773844,1.9349983,99.57668,99.31635,99.16923,final
2021-05-01,1,2202,NE001,21441.0,1.8903502,1.7540802,2.4632246,2.3614306,3.5329509,3.4521928,102.01759,101.382805,100.95549,final
2021-05-11,1,2202,NE001,21441.0,2.9723427,2.3636694,5.3005924,4.5787663,6.2078724,5.51587,108.26589,107.5357,106.58056,final
2021-05-21,1,2202,NE001,21441.0,2.0761626,2.1535344,6.938855,6.271284,8.070192,7.4570293,98.91841,105.92276,104.922226,final
2021-06-01,1,2202,NE001,21441.0,1.1310107,1.3395318,6.179516,5.8567357,9.0367985,8.623432,96.71078,102.97309,103.03423,final
2021-06-11,1,2202,NE001,21441.0,1.0559676,1.1942353,4.2631407,4.6873016,9.961336,9.681825,97.76779,95.621475,101.90379,final
2021-06-21,1,2202,NE001,21441.0,2.3169627,1.5126907,4.503941,4.046458,12.139872,11.054034,112.349304,105.05705,106.76363,final
2021-07-01,1,2202,NE001,21441.0,3.9890397,2.5716524,7.36197,5.2785783,16.004711,13.496745,118.71965,120.269264,113.558945,final
2021-07-11,1,2202,NE001,21441.0,3.64358,3.1928174,9.949583,7.2771606,19.513315,16.543228,105.501915,121.767426,113.78664,final
2021-07-21,1,2202,NE001,21441.0,5.7214684,4.563503,13.354088,10.327973,24.796885,20.645716,112.10816,119.74243,116.18659,final
2021-08-01,1,2202,NE001,21441.0,4.507486,5.9118886,13.872534,13.668209,27.41402,24.803522,87.129616,101.094505,108.75902,final
2021-08-11,1,2202,NE001,21441.0,5.999767,6.400115,16.228722,16.875507,30.441444,28.83997,96.48821,97.043335,104.73249,final
2021-08-21,1,2202,NE001,21441.0,4.9378295,6.332438,15.445082,18.644442,33.303112,33.01887,87.693665,86.46887,100.747635,final
2021-09-01,1,2202,NE001,21441.0,1.3637424,2.7802265,12.301338,15.512779,33.535843,34.459568,81.79379,84.34419,97.65906,final
2021-09-11,1,2202,NE001,21441.0,0.9618488,1.8389425,7.2634206,10.951607,33.441727,35.104275,87.175,76.8789,95.85444,final
2021-09-21,1,2202,NE001,21441.0,0.9491162,1.2132922,3.2747073,5.8324614,32.07388,34.804874,95.748215,76.38807,93.13904,final
2021-10-01,1,2202,NE001,21441.0,0.396017,0.48746794,2.306982,3.539703,28.480856,32.72069,98.33346,85.56482,88.759926,final
2021-10-11,1,2202,NE001,21441.0,0.1688354,0.1748426,1.5139686,1.8756028,25.006111,29.702717,99.88391,94.740326,86.46618,final
2021-10-21,1,2202,NE001,21441.0,0.112121634,0.122837864,0.676974,0.7851484,19.396763,25.26205,99.79081,98.13013,80.61834,final
