date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,1,2688,SO11,525.0,1.52,2.3749206,9.87619,7.7083807,32.03619,35.34495,88.40773,117.05811,91.79882,final
2021-01-11,1,2688,SO11,525.0,1.5447619,2.4113016,9.270476,7.9902225,31.950474,30.49981,88.30786,109.85552,104.086395,final
2021-01-21,1,2688,SO11,525.0,2.6495237,2.6063492,5.714286,7.3925714,32.904762,25.786604,100.56761,86.45732,123.120964,final
2021-02-01,1,2688,SO11,525.0,1.1142857,1.7128254,5.308571,6.7304764,30.664762,23.483555,91.08364,87.87854,125.21178,final
2021-02-11,1,2688,SO11,525.0,1.1390476,1.5275556,4.902857,5.84673,28.657143,21.397333,94.04819,91.29809,127.50206,final
2021-02-21,1,2688,SO11,525.0,0.8914286,1.6859047,3.144762,4.9262857,19.84381,20.2513,88.11715,82.05246,98.38625,final
2021-03-01,1,2688,SO11,525.0,1.3352381,3.6791747,3.365714,6.892635,18.550474,21.331491,72.99355,70.34366,89.43844,final
2021-03-11,1,2688,SO11,525.0,1.0952381,4.5843177,3.3219047,9.949397,17.495237,23.78635,63.59595,55.66716,78.1455,final
2021-03-21,1,2688,SO11,525.0,1.0228572,6.6994286,3.4533334,14.962921,12.312382,27.281778,51.479923,42.34517,53.628963,final
2021-04-01,1,2688,SO11,525.0,1.7466667,13.677461,3.864762,24.961206,12.539046,38.584316,36.121975,29.58747,40.241646,final
2021-04-11,1,2688,SO11,525.0,4.224762,13.751365,6.9942856,34.128254,15.219047,49.92438,49.195145,30.653772,36.812515,final
2021-04-21,1,2688,SO11,525.0,29.350475,15.286349,35.321903,42.715176,41.92,62.60438,169.32802,84.50541,69.40378,final
2021-05-01,1,2688,SO11,525.0,50.29524,8.72819,83.870476,37.765903,91.10095,69.61974,402.78607,207.80685,128.78757,final
2021-05-11,1,2688,SO11,525.0,3.0095239,8.690032,82.655235,32.70457,92.97142,76.78223,58.506245,232.47906,119.79549,final
2021-05-21,1,2688,SO11,525.0,3.9923809,6.642857,57.297146,24.061079,96.07238,81.739174,77.23518,214.36624,116.52449,final
2021-06-01,1,2688,SO11,525.0,0.6590476,2.015492,7.660952,17.348381,95.39619,80.07549,80.665016,56.65266,118.008354,final
2021-06-11,1,2688,SO11,525.0,0.48,1.1599365,5.1314282,9.818286,94.78095,76.65111,88.96196,68.37112,122.20404,final
2021-06-21,1,2688,SO11,525.0,0.8152381,1.5258412,1.9542857,4.70127,94.57333,71.47752,89.11093,71.68428,130.19946,final
2021-07-01,1,2688,SO11,525.0,6.672381,4.8919363,7.967619,7.5777144,99.49905,62.692,117.99895,103.09995,154.37428,final
