Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Guinea,GIN,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.63012388466122
Guinea,GIN,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.25179090978949
Guinea,GIN,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.3035514887204
Guinea,GIN,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.3321674042755
Guinea,GIN,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.10311059797761
Guinea,GIN,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.23807266547986
Guinea,GIN,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.481635400074782
Guinea,GIN,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.590266124132021
Guinea,GIN,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.690328857442695
Guinea,GIN,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.09526692671419
Guinea,GIN,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.11525505447476
Guinea,GIN,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.83242435980899
Guinea,GIN,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.74248189050986
Guinea,GIN,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.61085341495624
Guinea,GIN,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.20761986582357
Guinea,GIN,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.1581296526487
Guinea,GIN,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.86597905079074
Guinea,GIN,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.919737322145202
Guinea,GIN,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.957710535909588
Guinea,GIN,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.716630196936543
Guinea,GIN,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.875592849325064
Guinea,GIN,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.16788321167883
Guinea,GIN,2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.16788321167883
Guinea,GIN,1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.16788321167883
Guinea,GIN,1998,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.1985401459854
