Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Eritrea,ERI,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,75920
Eritrea,ERI,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,75920
Eritrea,ERI,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,75920
Eritrea,ERI,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,75920
Eritrea,ERI,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,75920
Eritrea,ERI,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,75920
Eritrea,ERI,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,75920
Eritrea,ERI,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,75920
Eritrea,ERI,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,75920
Eritrea,ERI,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,75920
Eritrea,ERI,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,75920
Eritrea,ERI,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,75920
Eritrea,ERI,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,75920
Eritrea,ERI,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,75720
Eritrea,ERI,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,75720
Eritrea,ERI,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,75720
Eritrea,ERI,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,75220
Eritrea,ERI,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,75000
Eritrea,ERI,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,75670
Eritrea,ERI,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,75320
Eritrea,ERI,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,75320
Eritrea,ERI,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,75300
