Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Ethiopia,ETH,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,385950
Ethiopia,ETH,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,384761
Ethiopia,ETH,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,381900
Ethiopia,ETH,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,379030
Ethiopia,ETH,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,375401
Ethiopia,ETH,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,373320
Ethiopia,ETH,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,371210
Ethiopia,ETH,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,369100
Ethiopia,ETH,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,366990
Ethiopia,ETH,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,364880
Ethiopia,ETH,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,363252
Ethiopia,ETH,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,356830
Ethiopia,ETH,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,349850
Ethiopia,ETH,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,345130
Ethiopia,ETH,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,350770
Ethiopia,ETH,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,342190
Ethiopia,ETH,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,335910
Ethiopia,ETH,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,331010
Ethiopia,ETH,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,316070
Ethiopia,ETH,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,304980
Ethiopia,ETH,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,305590
Ethiopia,ETH,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,305340
Ethiopia,ETH,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,305570
Ethiopia,ETH,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,304490
Ethiopia,ETH,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,304920
Ethiopia,ETH,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,305000
Ethiopia,ETH,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,305000
Ethiopia,ETH,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,304720
Ethiopia,ETH,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,305400
Ethiopia,ETH,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,561050
Ethiopia,ETH,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,561580
Ethiopia,ETH,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,563120
Ethiopia,ETH,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,565200
Ethiopia,ETH,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,567750
Ethiopia,ETH,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,570300
Ethiopia,ETH,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,573850
Ethiopia,ETH,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,576900
Ethiopia,ETH,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,578900
Ethiopia,ETH,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,583480
Ethiopia,ETH,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,586050
Ethiopia,ETH,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,588600
Ethiopia,ETH,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,591150
Ethiopia,ETH,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,592770
Ethiopia,ETH,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,592890
