Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Gambia,GMB,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.23638636363636
Gambia,GMB,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.23638636363636
Gambia,GMB,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.780136363636364
Gambia,GMB,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.21961363636364
Gambia,GMB,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.05184090909091
Gambia,GMB,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.391386363636364
Gambia,GMB,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.665977777777778
Gambia,GMB,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.528911111111111
Gambia,GMB,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.455155555555556
Gambia,GMB,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.403955555555556
Gambia,GMB,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.58231111111111
Gambia,GMB,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.2755555555556
Gambia,GMB,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.3
Gambia,GMB,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.34345794392523
Gambia,GMB,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.26075268817204
Gambia,GMB,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.97689768976898
Gambia,GMB,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.8259385665529
Gambia,GMB,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.2049469964664
Gambia,GMB,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.18681318681319
Gambia,GMB,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.6856060606061
Gambia,GMB,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.27868852459016
Gambia,GMB,2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.41880341880342
Gambia,GMB,1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.33333333333333
Gambia,GMB,1998,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.6279069767442
Gambia,GMB,1997,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.36585365853659
Gambia,GMB,1996,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.23684210526316
Gambia,GMB,1995,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.1027027027027
Gambia,GMB,1994,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.44444444444444
Gambia,GMB,1993,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.96894409937888
Gambia,GMB,1992,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.93827160493827
Gambia,GMB,1991,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.59183673469388
Gambia,GMB,1990,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.20855614973262
Gambia,GMB,1989,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.9226519337017
Gambia,GMB,1988,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.67336683417085
Gambia,GMB,1987,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,14.1304347826087
Gambia,GMB,1986,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,21.4689265536723
Gambia,GMB,1985,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,23.0769230769231
Gambia,GMB,1984,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,12.4260355029586
Gambia,GMB,1983,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,13.1147540983607
Gambia,GMB,1982,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,12.3267326732673
Gambia,GMB,1981,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.53038674033149
Gambia,GMB,1980,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,12.7358490566038
Gambia,GMB,1979,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,19.4518072289157
Gambia,GMB,1978,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,18.0112994350282
Gambia,GMB,1977,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.72941176470588
Gambia,GMB,1976,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.1226993865031
Gambia,GMB,1975,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.60365853658537
Gambia,GMB,1974,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.38823529411765
Gambia,GMB,1973,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.41258741258741
Gambia,GMB,1972,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.15942028985507
Gambia,GMB,1971,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.00751879699248
Gambia,GMB,1970,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.25384615384615
Gambia,GMB,1969,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.69230769230769
Gambia,GMB,1968,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.375
Gambia,GMB,1967,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.5703125
Gambia,GMB,1966,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.38095238095238
Gambia,GMB,1965,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.912
Gambia,GMB,1964,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.306451612903226
Gambia,GMB,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,6340
Gambia,GMB,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,6340
Gambia,GMB,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,6340
Gambia,GMB,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,6340
Gambia,GMB,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,6340
Gambia,GMB,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,6440
Gambia,GMB,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,6440
Gambia,GMB,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,6440
Gambia,GMB,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,6440
Gambia,GMB,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,6440
Gambia,GMB,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,6440
Gambia,GMB,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,6440
Gambia,GMB,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,6220
Gambia,GMB,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,5660
Gambia,GMB,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,4960
Gambia,GMB,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,4960
Gambia,GMB,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,4850
Gambia,GMB,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,4780
Gambia,GMB,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,4710
Gambia,GMB,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,4910
Gambia,GMB,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,4840
Gambia,GMB,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,5060
Gambia,GMB,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,5670
Gambia,GMB,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,5670
Gambia,GMB,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,5570
Gambia,GMB,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,5570
Gambia,GMB,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,5570
Gambia,GMB,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,5570
Gambia,GMB,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,5470
Gambia,GMB,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,5480
