Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Mali,MLI,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,431310
Mali,MLI,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,429420
Mali,MLI,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,427530
Mali,MLI,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,425640
Mali,MLI,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,423750
Mali,MLI,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,421860
Mali,MLI,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,419960
Mali,MLI,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,418070
Mali,MLI,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,416180
Mali,MLI,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,414290
Mali,MLI,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,412400
Mali,MLI,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,410510
Mali,MLI,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,410454
Mali,MLI,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,408210
Mali,MLI,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,405970
Mali,MLI,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,404660
Mali,MLI,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,403920
Mali,MLI,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,396910
Mali,MLI,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,407260
Mali,MLI,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,396840
Mali,MLI,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,393090
Mali,MLI,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,386650
Mali,MLI,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,376500
Mali,MLI,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,376500
Mali,MLI,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,376500
Mali,MLI,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,366500
Mali,MLI,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,354190
Mali,MLI,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,352700
Mali,MLI,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,331600
Mali,MLI,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,322530
Mali,MLI,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,321430
Mali,MLI,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,321280
Mali,MLI,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,321230
Mali,MLI,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,321230
Mali,MLI,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,321060
Mali,MLI,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,321060
Mali,MLI,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,321030
Mali,MLI,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,320830
Mali,MLI,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,320830
Mali,MLI,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,320830
Mali,MLI,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,320830
Mali,MLI,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,320800
Mali,MLI,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,320800
Mali,MLI,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,320750
Mali,MLI,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,320750
Mali,MLI,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,320770
Mali,MLI,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,318780
Mali,MLI,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,318280
Mali,MLI,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,317780
Mali,MLI,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,317780
Mali,MLI,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,317780
Mali,MLI,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,317780
Mali,MLI,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,317280
