Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Niger,NER,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,465950
Niger,NER,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,465950
Niger,NER,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,465950
Niger,NER,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,465950
Niger,NER,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,465950
Niger,NER,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,463950
Niger,NER,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,456950
Niger,NER,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,456820
Niger,NER,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,456820
Niger,NER,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,447820
Niger,NER,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,444820
Niger,NER,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,439820
Niger,NER,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,437820
Niger,NER,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,437820
Niger,NER,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,437820
Niger,NER,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,429890
Niger,NER,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,429650
Niger,NER,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,384720
Niger,NER,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,384120
Niger,NER,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,380000
Niger,NER,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,380000
Niger,NER,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,370000
Niger,NER,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,370000
Niger,NER,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,360000
Niger,NER,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,360000
Niger,NER,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,360000
Niger,NER,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,360000
Niger,NER,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,350000
Niger,NER,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,350000
Niger,NER,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,350000
Niger,NER,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,341050
Niger,NER,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,330470
Niger,NER,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,314050
Niger,NER,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,313000
Niger,NER,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,310120
Niger,NER,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,312800
Niger,NER,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,307800
Niger,NER,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,307800
Niger,NER,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,310100
Niger,NER,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,303600
Niger,NER,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,302800
Niger,NER,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,307200
Niger,NER,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,299580
Niger,NER,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,297800
Niger,NER,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,297800
Niger,NER,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,297800
Niger,NER,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,297800
Niger,NER,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,297800
Niger,NER,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,308140
Niger,NER,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,311770
Niger,NER,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,312300
Niger,NER,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,312000
Niger,NER,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,321760
Niger,NER,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,321770
Niger,NER,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,315000
Niger,NER,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,315000
Niger,NER,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,315000
Niger,NER,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,315000
Niger,NER,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,315000
Niger,NER,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,315000
Niger,NER,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,315000
Niger,NER,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.7845583010973
Niger,NER,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.7845583010973
Niger,NER,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.7845583010973
Niger,NER,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.7845583010973
Niger,NER,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.7845583010973
Niger,NER,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.7845583010973
Niger,NER,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.6266677192705
Niger,NER,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.0740506828768
Niger,NER,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.063787795058
Niger,NER,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.063787795058
Niger,NER,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.3532801768375
Niger,NER,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.1164443040973
Niger,NER,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.7217178495303
Niger,NER,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.5638272677035
Niger,NER,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.5638272677035
Niger,NER,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.5638272677035
Niger,NER,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.9377911107602
Niger,NER,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.918844240941
Niger,NER,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.3718323202021
Niger,NER,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.3244651456541
Niger,NER,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.9992105470909
Niger,NER,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.9992105470909
Niger,NER,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.2097576379569
Niger,NER,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.2097576379569
Niger,NER,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.4203047288229
Niger,NER,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.4203047288229
Niger,NER,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.4203047288229
Niger,NER,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.4203047288229
Niger,NER,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.630851819689
Niger,NER,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.630851819689
Niger,NER,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.630851819689
Niger,NER,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.9242914660141
Niger,NER,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.0890502881503
Niger,NER,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.7927686113523
