Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Nigeria,NGA,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,686440
Nigeria,NGA,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,684930
Nigeria,NGA,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,683420
Nigeria,NGA,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,681920
Nigeria,NGA,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,680390
Nigeria,NGA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,678910
Nigeria,NGA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,677370
Nigeria,NGA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,675930
Nigeria,NGA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,674420
Nigeria,NGA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,672930
Nigeria,NGA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,671430
Nigeria,NGA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,669940
Nigeria,NGA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,668430
Nigeria,NGA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,666960
Nigeria,NGA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,665460
Nigeria,NGA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,663970
Nigeria,NGA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,662560
Nigeria,NGA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,661030
Nigeria,NGA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,659570
Nigeria,NGA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,658080
Nigeria,NGA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,656670
Nigeria,NGA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,655080
Nigeria,NGA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,653600
Nigeria,NGA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,652110
Nigeria,NGA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,644000
Nigeria,NGA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,642400
Nigeria,NGA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,640790
Nigeria,NGA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,619180
Nigeria,NGA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,609570
Nigeria,NGA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,605960
Nigeria,NGA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,594350
Nigeria,NGA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,587140
Nigeria,NGA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,581010
Nigeria,NGA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,579640
Nigeria,NGA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,577730
Nigeria,NGA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,576900
Nigeria,NGA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,574820
Nigeria,NGA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,571730
Nigeria,NGA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,568660
Nigeria,NGA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,567580
Nigeria,NGA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,566490
Nigeria,NGA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,565410
Nigeria,NGA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,563320
Nigeria,NGA,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,560240
Nigeria,NGA,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,559160
Nigeria,NGA,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,560360
Nigeria,NGA,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,558890
Nigeria,NGA,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,557420
Nigeria,NGA,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,555940
Nigeria,NGA,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,554470
Nigeria,NGA,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,553000
Nigeria,NGA,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,551520
Nigeria,NGA,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,549550
Nigeria,NGA,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,547080
Nigeria,NGA,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,545600
Nigeria,NGA,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,548130
Nigeria,NGA,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,547650
Nigeria,NGA,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,546180
Nigeria,NGA,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,544710
Nigeria,NGA,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,543230
Nigeria,NGA,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,541760
Nigeria,NGA,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.6475029919738
Nigeria,NGA,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.5875000274493
Nigeria,NGA,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.6097679985068
Nigeria,NGA,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.0548910262745
