date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,1,900172,TCD19,1878.0,0.0,0.0,0.0,0.0,1.5383387,1.2638267,100.0,100.0,104.38249,final
2021-01-11,1,900172,TCD19,1878.0,0.0,0.0,0.0,0.0,0.5953142,0.46396875,100.0,100.0,102.40385,final
2021-01-21,1,900172,TCD19,1878.0,0.0,0.0,0.0,0.0,0.08519702,0.036119986,100.0,100.0,100.9745,final
2021-02-01,1,900172,TCD19,1878.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,final
2021-02-11,1,900172,TCD19,1878.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,final
2021-02-21,1,900172,TCD19,1878.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,final
2021-03-01,1,900172,TCD19,1878.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,final
2021-03-11,1,900172,TCD19,1878.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,final
2021-03-21,1,900172,TCD19,1878.0,0.0,0.001686191,0.0,0.001686191,0.0,0.001686191,99.966286,99.966286,99.966286,final
2021-04-01,1,900172,TCD19,1878.0,0.19169329,0.18819666,0.19169329,0.18988284,0.19169329,0.18988284,100.0674,100.03488,100.03488,final
2021-04-11,1,900172,TCD19,1878.0,0.2827476,0.3017217,0.47444087,0.49160454,0.47444087,0.49160454,99.64212,99.68746,99.68746,final
2021-04-21,1,900172,TCD19,1878.0,0.43663472,0.40946043,0.9110756,0.8993788,0.9110756,0.901065,100.50235,100.19827,100.16965,final
2021-05-01,1,900172,TCD19,1878.0,0.52768904,0.7316294,1.2470713,1.4428115,1.4387646,1.6326944,96.44184,96.96188,97.07616,final
2021-05-11,1,900172,TCD19,1878.0,0.5857295,0.8177494,1.5500532,1.9588392,2.0244942,2.4504437,96.011856,94.125656,94.2829,final
2021-05-21,1,900172,TCD19,1878.0,0.642705,1.6277956,1.7561235,3.1771743,2.6671991,4.0782394,85.13698,82.621735,84.456894,final
2021-06-01,1,900172,TCD19,1878.0,2.7092652,2.4996095,3.9376998,4.9451547,5.3764644,6.577849,102.795555,89.869896,89.62343,final
