date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,1,900405,DJ05,69.0,2.2028985,3.5516908,15.217392,10.472464,45.15942,41.614975,84.22777,130.66693,107.60366,final
2021-01-11,1,900405,DJ05,69.0,2.347826,3.915942,14.434782,11.397585,45.536232,39.75942,82.41222,118.522224,112.90636,final
2021-01-21,1,900405,DJ05,69.0,5.2608695,4.7603865,9.811594,12.22802,48.710148,37.458935,105.1277,85.97386,126.49905,final
2021-02-01,1,900405,DJ05,69.0,1.5362319,2.7294686,9.144927,11.405797,45.072468,35.552658,84.56251,86.219086,123.47518,final
2021-02-11,1,900405,DJ05,69.0,2.1449275,2.5661836,8.942029,10.056039,41.420288,32.73237,94.43238,92.600914,123.02511,final
2021-02-21,1,900405,DJ05,69.0,1.4057971,2.462319,5.0869565,7.757971,35.5942,30.815458,85.84191,79.06395,113.34268,final
2021-03-01,1,900405,DJ05,69.0,2.2173913,4.300483,5.768116,9.328985,30.130438,31.207247,77.60232,75.14919,97.02599,final
2021-03-11,1,900405,DJ05,69.0,1.942029,5.018841,5.5652175,11.781643,28.942032,33.235268,69.28974,62.956993,88.77153,final
2021-03-21,1,900405,DJ05,69.0,1.6521739,6.019324,5.811594,15.338647,20.710146,35.32464,60.368263,53.157883,63.757908,final
2021-04-01,1,900405,DJ05,69.0,1.0,6.0468597,4.594203,17.085024,19.507246,37.81981,54.314075,43.44212,57.23343,final
2021-04-11,1,900405,DJ05,69.0,1.0,5.941063,3.652174,18.007246,18.15942,39.84493,54.83928,37.6063,51.64334,final
2021-04-21,1,900405,DJ05,69.0,12.130435,7.053623,14.130435,19.041546,25.028986,42.138165,142.11856,79.5724,63.704193,final
2021-05-01,1,900405,DJ05,69.0,48.52174,4.803865,61.652176,17.798552,72.014496,44.21256,545.92487,292.35266,156.49358,final
2021-05-11,1,900405,DJ05,69.0,5.014493,4.380193,65.66667,16.23768,74.88406,46.02657,106.76211,332.74194,156.55386,final
2021-05-21,1,900405,DJ05,69.0,4.188406,2.568599,57.72464,11.752657,77.66667,46.13285,121.40168,374.41608,161.67038,final
2021-06-01,1,900405,DJ05,69.0,0.6376812,0.842029,9.84058,7.790821,76.08696,42.674397,96.5021,116.02523,170.08492,final
2021-06-11,1,900405,DJ05,69.0,0.4057971,0.5067633,5.231884,3.9173913,74.550735,38.16232,98.166504,114.740776,184.30598,final
2021-06-21,1,900405,DJ05,69.0,0.942029,0.96135265,1.9855072,2.310145,73.84059,33.104347,99.67584,95.55908,206.90707,final
2021-07-01,1,900405,DJ05,69.0,10.188406,3.7024155,11.536232,5.1705313,83.029,30.759903,174.53093,162.58966,246.16678,final
2021-07-11,1,900405,DJ05,69.0,9.478261,3.7193236,20.608696,8.383092,91.50726,28.538164,166.04797,191.35112,287.75357,final
