date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,1,1205,ER4,715.0,1.4937063,1.5103496,2.9608393,2.9420047,15.909093,18.60112,99.744354,100.23715,88.59364,final
2021-01-11,1,1205,ER4,715.0,1.6923077,1.6862005,4.004196,3.9867134,15.299301,16.168951,100.09134,100.194534,95.89186,final
2021-01-21,1,1205,ER4,715.0,1.7678322,1.770676,4.9538465,4.967226,14.895105,13.554359,99.958,99.86576,107.226036,final
2021-02-01,1,1205,ER4,715.0,0.9020979,0.8799068,4.3622375,4.336783,12.41958,12.044476,100.3774,100.27263,102.200745,final
2021-02-11,1,1205,ER4,715.0,0.86853147,0.8402797,3.5384614,3.4908624,11.176223,10.84042,100.48374,100.56061,102.11992,final
2021-02-21,1,1205,ER4,715.0,0.9118881,0.933007,2.6825175,2.6531935,10.141259,9.973846,99.64404,100.38316,101.11804,final
2021-03-01,1,1205,ER4,715.0,1.7216784,1.8095571,3.502098,3.5828438,10.825175,10.861631,98.70948,99.05922,99.770164,final
2021-03-11,1,1205,ER4,715.0,1.9412588,2.171142,4.5748253,4.9137063,12.117483,12.391282,96.794334,96.581696,98.42566,final
2021-03-21,1,1205,ER4,715.0,2.5734265,2.5450816,6.2363634,6.5257807,13.872727,14.1462,100.37568,97.48896,98.571655,final
2021-04-01,1,1205,ER4,715.0,5.4895105,5.69641,10.004196,10.412634,17.86853,18.33226,98.06571,97.34998,98.0125,final
2021-04-11,1,1205,ER4,715.0,6.5174823,6.2141724,14.58042,14.455665,22.693707,22.860233,102.704704,100.64123,99.402275,final
2021-04-21,1,1205,ER4,715.0,8.205594,6.502704,20.212585,18.413286,29.13147,27.59226,114.80425,107.684944,104.72262,final
2021-05-01,1,1205,ER4,715.0,10.367832,8.021445,25.090908,20.738321,38.597202,34.7338,118.0194,116.91092,109.72322,final
2021-05-11,1,1205,ER4,715.0,9.986014,9.002471,28.55944,23.52662,47.714687,42.895992,107.02407,117.64253,110.06075,final
2021-05-21,1,1205,ER4,715.0,6.6307693,8.141539,26.984617,25.165455,53.433567,50.104523,88.50387,106.03062,106.04132,final
2021-06-01,1,1205,ER4,715.0,4.6923075,5.9657807,21.30909,23.10979,56.404194,54.260746,88.38685,93.59405,103.616974,final
2021-06-11,1,1205,ER4,715.0,9.153846,6.393007,20.476921,20.500326,63.616783,58.482613,124.23274,99.90822,108.087524,final
2021-06-21,1,1205,ER4,715.0,15.68951,11.520186,29.535664,23.878975,76.732864,67.45772,125.23775,119.58756,112.800766,final
2021-07-01,1,1205,ER4,715.0,19.94965,22.520699,44.793007,40.43389,91.19301,84.282005,90.65777,109.59441,107.74064,final
