date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,1,900532,ET14,20.0,2.5,3.6416667,6.0,8.67,21.050001,29.25,86.78882,80.46818,76.0584,final
2021-01-11,1,900532,ET14,20.0,1.2,4.305,5.7,10.611667,16.7,27.446667,66.630844,68.53849,66.87898,final
2021-01-21,1,900532,ET14,20.0,4.7,5.7233334,8.4,13.67,19.25,28.48,90.45695,71.772896,72.431305,final
2021-02-01,1,900532,ET14,20.0,5.4,11.851666,11.299999,21.88,22.749998,37.321667,61.714966,60.63988,65.569244,final
2021-02-11,1,900532,ET14,20.0,20.35,11.213333,30.45,28.788334,41.25,46.215,156.35281,104.91787,90.30557,final
2021-02-21,1,900532,ET14,20.0,3.6,8.238334,29.35,31.303333,42.8,52.243332,64.96286,94.61941,83.503174,final
2021-03-01,1,900532,ET14,20.0,6.15,15.461666,30.1,34.913334,47.4,65.46333,54.49214,87.94053,74.36492,final
2021-03-11,1,900532,ET14,20.0,5.55,17.291666,15.3,40.991665,51.45,80.39167,47.327103,44.13843,66.107155,final
2021-03-21,1,900532,ET14,20.0,9.4,22.83,21.1,55.583332,58.85,100.55666,51.74272,43.081158,60.48884,final
2021-04-01,1,900532,ET14,20.0,6.6,23.6,21.55,63.721664,62.949997,120.515,40.55944,38.6341,54.136955,final
2021-04-11,1,900532,ET14,20.0,5.15,24.23,21.15,70.66,66.9,140.44,34.724598,34.56251,49.436195,final
2021-04-21,1,900532,ET14,20.0,56.85,26.71,68.6,74.54,119.049995,161.42667,195.04887,92.53206,74.53733,final
2021-05-01,1,900532,ET14,20.0,68.6,31.026667,130.6,81.96667,182.25,180.60167,204.29314,155.92181,100.8881,final
2021-05-11,1,900532,ET14,20.0,12.7,21.058332,138.15,78.795,174.59999,190.44667,67.92454,170.83357,91.89207,final
2021-05-21,1,900532,ET14,20.0,7.25,25.646667,88.549995,77.73167,178.24998,207.855,39.971718,113.0764,86.09146,final
2021-06-01,1,900532,ET14,20.0,20.25,31.72,40.2,78.425,192.34999,224.11334,68.76361,54.1804,86.1364,final
2021-06-11,1,900532,ET14,20.0,30.05,39.296665,57.55,96.66334,216.85,246.11833,79.125595,61.526604,88.3448,final
2021-06-21,1,900532,ET14,20.0,41.2,48.926666,91.5,119.94334,248.65,272.215,85.671906,77.235016,91.499374,final
2021-07-01,1,900532,ET14,20.0,102.35,81.84333,173.6,170.06667,344.4,330.45834,123.6134,102.01829,104.156006,final
2021-07-11,1,900532,ET14,20.0,77.4,84.69667,220.95001,215.46667,416.65,390.925,91.86517,102.487144,106.497444,final
2021-07-21,1,900532,ET14,20.0,94.45,105.07667,274.2,271.61667,454.25,469.2917,90.346115,100.93391,96.8286,final
2021-08-01,1,900532,ET14,20.0,123.7,89.778336,295.55,279.55167,509.34998,528.04333,135.79053,105.62229,96.49309,final
2021-08-11,1,900532,ET14,20.0,86.15,94.445,304.3,289.3,582.80005,601.43,91.65871,105.09684,96.92793,final
