date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,1,112869,GM05,3.0,0.0,0.2777778,0.0,0.2777778,31.666666,31.344444,94.73685,94.73685,100.88657,final
2021-01-11,1,112869,GM05,3.0,0.33333334,0.16666667,0.33333334,0.44444445,3.9999998,13.455555,103.225815,97.95918,48.765804,final
2021-01-21,1,112869,GM05,3.0,0.33333334,0.18888889,0.6666667,0.6333333,2.6666665,2.6555555,102.78373,100.59172,100.145134,final
2021-02-01,1,112869,GM05,3.0,0.0,0.0,0.6666667,0.35555556,1.0,1.0555556,100.0,105.80913,99.08257,final
2021-02-11,1,112869,GM05,3.0,0.0,0.0,0.33333334,0.18888889,0.6666667,0.72222227,100.0,102.78373,99.02912,final
2021-02-21,1,112869,GM05,3.0,0.0,0.0,0.0,0.0,0.6666667,0.6666667,100.0,100.0,100.0,final
2021-03-01,1,112869,GM05,3.0,0.0,0.0,0.0,0.0,0.6666667,0.6333333,100.0,100.0,100.59172,final
2021-03-11,1,112869,GM05,3.0,0.0,0.0,0.0,0.0,0.6666667,0.6333333,100.0,100.0,100.59172,final
2021-03-21,1,112869,GM05,3.0,0.0,0.0,0.0,0.0,0.6666667,0.6333333,100.0,100.0,100.59172,final
2021-04-01,1,112869,GM05,3.0,0.0,0.0,0.0,0.0,0.6666667,0.35555556,100.0,100.0,105.80913,final
2021-04-11,1,112869,GM05,3.0,0.0,0.0,0.0,0.0,0.33333334,0.18888889,100.0,100.0,102.78373,final
2021-04-21,1,112869,GM05,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,final
2021-05-01,1,112869,GM05,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,final
2021-05-11,1,112869,GM05,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,final
2021-05-21,1,112869,GM05,3.0,1.0,1.6333333,1.0,1.6333333,1.0,1.6333333,90.45226,90.45226,90.45226,final
2021-06-01,1,112869,GM05,3.0,4.6666665,11.455556,5.6666665,13.088889,5.6666665,13.088889,58.74409,58.96805,58.96805,final
2021-06-11,1,112869,GM05,3.0,10.666667,15.277778,16.333334,28.366667,16.333334,28.366667,77.26028,63.93606,63.93606,final
2021-06-21,1,112869,GM05,3.0,36.0,26.755556,51.333336,53.488888,52.333336,55.122223,129.11127,96.3146,95.361305,final
2021-07-01,1,112869,GM05,3.0,29.333334,57.11111,76.0,99.14445,81.66667,112.23334,55.277287,77.776596,73.92664,final
2021-07-11,1,112869,GM05,3.0,38.666668,61.077778,104.0,144.94444,120.33334,173.31111,66.08375,72.693596,70.28914,final
2021-07-21,1,112869,GM05,3.0,53.666668,94.333336,121.66667,212.52222,174.00002,267.64444,59.060402,58.231606,65.653275,final
2021-08-01,1,112869,GM05,3.0,153.66667,85.1,246.0,240.51111,327.6667,352.74445,176.10063,102.2357,92.990036,final
2021-08-11,1,112869,GM05,3.0,132.33333,115.9,339.6667,295.33334,460.0,468.64444,113.59249,114.761375,98.17491,final
2021-08-21,1,112869,GM05,3.0,126.666664,129.34445,412.66666,330.34445,585.6667,596.3555,98.00677,124.54855,98.22254,final
2021-09-01,1,112869,GM05,3.0,81.0,109.67778,340.0,354.9222,662.0,694.57776,74.99274,95.85404,95.34322,final
2021-09-11,1,112869,GM05,3.0,145.33333,85.066666,353.0,324.0889,796.6667,764.3667,166.91339,108.7852,104.19825,final
2021-09-21,1,112869,GM05,3.0,29.0,72.17778,255.33333,266.9222,789.6667,809.7889,44.05413,95.73815,97.53038,final
2021-10-01,1,112869,GM05,3.0,34.0,27.11111,208.33333,184.35556,794.3333,779.7889,121.453285,112.66283,101.85329,final
2021-10-11,1,112869,GM05,3.0,2.6666667,18.222221,65.666664,117.51111,758.3334,736.93335,33.01436,57.68184,102.88436,final
2021-10-21,1,112869,GM05,3.0,17.666666,10.9777775,54.333336,56.31111,722.3334,653.57776,141.86371,96.7742,110.44002,final
2021-11-01,1,112869,GM05,3.0,1.3333334,1.5888889,21.666666,30.788889,570.0,570.06665,96.12142,74.511024,99.98841,final
2021-11-11,1,112869,GM05,3.0,0.33333334,0.33333334,19.333334,12.9,438.0,454.5,100.0,135.94041,96.40914,final
2021-11-21,1,112869,GM05,3.0,0.0,0.055555556,1.6666667,1.9777778,311.3333,325.21112,98.90111,95.541405,95.797295,final
2021-12-01,1,112869,GM05,3.0,0.0,0.033333335,0.33333334,0.42222223,230.33333,215.56667,99.33775,98.36066,106.69488,final
2021-12-11,1,112869,GM05,3.0,0.0,0.0,0.0,0.08888889,85.0,130.5,100.0,98.253265,66.42066,final
2021-12-21,1,112869,GM05,3.0,0.0,0.0,0.0,0.033333335,56.0,58.322224,100.0,99.33775,96.33269,final
2022-01-01,1,112869,GM05,3.0,0.0,0.2777778,0.0,0.2777778,22.0,31.344444,94.73685,94.73685,74.28921,final
2022-01-11,1,112869,GM05,3.0,0.0,0.16666667,0.0,0.44444445,19.333334,13.455555,96.7742,91.83673,131.84828,final
