date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,1,1926,ML09,9.0,0.0,0.0,0.0,0.0,27.88889,33.75185,100.0,100.0,84.8705,final
2021-01-11,1,1926,ML09,9.0,0.0,0.0,0.0,0.0,8.0,13.014814,100.0,100.0,72.162834,final
2021-01-21,1,1926,ML09,9.0,0.0,0.0,0.0,0.0,1.0,1.7444445,100.0,100.0,88.962105,final
2021-02-01,1,1926,ML09,9.0,0.0,0.0,0.0,0.0,0.0,0.018518519,100.0,100.0,99.631,final
2021-02-11,1,1926,ML09,9.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,final
2021-02-21,1,1926,ML09,9.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,final
2021-03-01,1,1926,ML09,9.0,0.7777778,0.5814815,0.7777778,0.5814815,0.7777778,0.5814815,103.51692,103.51692,103.51692,final
2021-03-11,1,1926,ML09,9.0,1.0,0.9259259,1.7777778,1.5074074,1.7777778,1.5074074,101.25001,104.154816,104.154816,final
2021-03-21,1,1926,ML09,9.0,2.0,1.4333334,3.7777777,2.9407408,3.7777777,2.9407408,108.80829,110.541046,110.541046,final
2021-04-01,1,1926,ML09,9.0,1.5555556,3.4296296,4.5555553,5.788889,5.333333,6.3703704,77.76801,88.56848,90.87947,final
2021-04-11,1,1926,ML09,9.0,2.2222223,5.5666666,5.7777777,10.429629,7.5555553,11.937037,68.349106,69.85118,74.13076,final
2021-04-21,1,1926,ML09,9.0,6.0,8.803703,9.777778,17.8,13.555555,20.74074,79.68876,64.81482,72.086334,final
2021-05-01,1,1926,ML09,9.0,12.444445,13.207407,20.666668,27.577778,26.0,33.948147,95.8096,78.78581,79.593,final
2021-05-11,1,1926,ML09,9.0,36.333332,22.074074,54.77778,44.085186,62.333332,56.02222,152.66757,121.783745,110.342316,final
2021-05-21,1,1926,ML09,9.0,13.666667,25.807407,62.444447,61.08889,76.0,81.82963,60.591496,102.0511,93.28613,final
2021-06-01,1,1926,ML09,9.0,30.666666,36.974075,80.666664,84.85555,105.888885,118.22222,84.973076,95.338196,89.99098,final
2021-06-11,1,1926,ML09,9.0,48.11111,34.744446,92.44444,97.525925,153.0,152.04074,133.63153,95.04372,100.61084,final
2021-06-21,1,1926,ML09,9.0,37.11111,44.25926,115.888885,115.977776,188.11111,194.86667,85.48872,99.92653,96.61997,final
2021-07-01,1,1926,ML09,9.0,49.666668,71.118515,134.88889,150.12222,236.22223,262.55554,71.81783,90.17979,90.157814,final
2021-07-11,1,1926,ML09,9.0,56.333332,76.49259,143.11111,191.87036,290.33334,333.48148,75.26247,75.23282,87.25244,final
2021-07-21,1,1926,ML09,9.0,142.66667,88.54074,248.66667,236.15186,427.0,413.2185,157.86348,105.1896,103.29529,final
2021-08-01,1,1926,ML09,9.0,98.333336,77.9963,297.33334,243.02963,512.88885,478.00742,124.50354,121.894035,107.221725,final
2021-08-11,1,1926,ML09,9.0,120.77778,84.96297,361.77777,251.5,597.3334,540.8963,139.81062,142.99329,110.338425,final
2021-08-21,1,1926,ML09,9.0,96.333336,97.91852,315.44446,260.87778,680.0,613.0074,98.45977,120.52322,110.840096,final
2021-09-01,1,1926,ML09,9.0,89.111115,67.00741,306.22223,249.88889,738.44446,643.0408,130.69644,122.10114,114.72187,final
2021-09-11,1,1926,ML09,9.0,49.88889,54.5,235.33334,219.42593,740.2223,662.7963,92.25024,107.08804,111.594246,final
2021-09-21,1,1926,ML09,9.0,53.666668,50.362965,192.66667,171.87038,756.7778,668.9,105.967354,111.757935,113.04018,final
2021-10-01,1,1926,ML09,9.0,20.777779,22.78148,124.333336,127.64445,727.8889,620.563,92.787636,97.503784,117.15669,final
2021-10-11,1,1926,ML09,9.0,20.333334,20.933332,94.77778,94.07778,691.8889,565.0037,97.68638,100.70652,122.260414,final
2021-10-21,1,1926,ML09,9.0,18.11111,11.688889,59.222225,55.4037,567.3333,488.15186,138.48203,106.32168,116.056206,final
2021-11-01,1,1926,ML09,9.0,1.0,1.674074,39.444443,34.296295,470.0,411.82962,89.900116,113.10085,113.95544,final
2021-11-11,1,1926,ML09,9.0,0.0,0.018518519,19.11111,13.381481,349.22223,326.8852,99.631,131.17067,106.730354,final
2021-11-21,1,1926,ML09,9.0,0.0,0.0,1.0,1.6925926,252.8889,228.96666,100.0,89.65136,110.22464,final
2021-12-01,1,1926,ML09,9.0,0.0,0.0,0.0,0.018518519,163.77779,161.95926,100.0,99.631,101.0892,final
2021-12-11,1,1926,ML09,9.0,0.0,0.0,0.0,0.0,113.888885,107.45926,100.0,100.0,105.71729,final
2021-12-21,1,1926,ML09,9.0,0.0,0.0,0.0,0.0,60.222225,57.096294,100.0,100.0,105.034004,final
2022-01-01,1,1926,ML09,9.0,0.0,0.0,0.0,0.0,39.444443,33.75185,100.0,100.0,114.689865,final
2022-01-11,1,1926,ML09,9.0,0.0,0.0,0.0,0.0,19.11111,13.014814,100.0,100.0,133.84047,final
2022-01-21,1,1926,ML09,9.0,0.0,0.0,0.0,0.0,1.0,1.7444445,100.0,100.0,88.962105,final
