date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,1,2004,MR07,7767.0,0.62379295,0.7365821,2.1143298,2.2259817,5.389597,5.4114633,98.03387,98.45486,99.789986,final
2021-01-11,1,2004,MR07,7767.0,0.6527617,0.6804086,2.0365648,2.1726878,5.202652,5.2336764,99.51329,98.1022,99.69683,final
2021-01-21,1,2004,MR07,7767.0,0.6787692,0.7817347,1.9553237,2.1987255,5.155401,5.297571,98.219124,96.61882,98.619385,final
2021-02-01,1,2004,MR07,7767.0,0.73078406,0.78241277,2.062315,2.244556,5.4900217,5.723364,99.10715,97.48444,97.82398,final
2021-02-11,1,2004,MR07,7767.0,0.68636537,0.72575855,2.0959187,2.289906,5.896228,6.161976,99.312,97.33896,97.61916,final
2021-02-21,1,2004,MR07,7767.0,0.31968585,0.2844985,1.7368352,1.7926699,5.823226,6.111798,100.665855,99.178024,97.40302,final
2021-03-01,1,2004,MR07,7767.0,0.57499677,0.3833741,1.581048,1.3936312,5.7576933,5.864169,103.55953,102.931305,99.019936,final
2021-03-11,1,2004,MR07,7767.0,0.17522854,0.19695292,1.0699112,0.86482555,5.202395,5.3274193,99.58198,103.49687,98.78939,final
2021-03-21,1,2004,MR07,7767.0,0.043259945,0.25082186,0.7934852,0.83114886,4.4856443,4.822544,96.04706,99.35409,96.57014,final
2021-04-01,1,2004,MR07,7767.0,0.0006437492,0.030895669,0.21913223,0.47867045,3.8624952,4.1168575,99.39868,95.26276,97.20998,final
2021-04-11,1,2004,MR07,7767.0,0.0003862495,0.028294923,0.044289943,0.31001243,3.2101197,3.464744,99.44497,94.99583,96.991936,final
2021-04-21,1,2004,MR07,7767.0,0.00012874985,0.007943865,0.0011587486,0.067134455,2.5314791,2.6909533,99.84395,98.69797,97.92647,final
2021-05-01,1,2004,MR07,7767.0,0.0002574997,0.0014934981,0.0007724991,0.037732285,1.8009528,1.9100338,99.97529,99.26634,98.42141,final
