date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,1,900729,SN05,172.0,0.0,0.059302326,0.06395349,0.1498062,15.668604,20.614147,98.82786,98.33289,80.69214,final
2021-01-11,1,900729,SN05,172.0,0.034883723,0.0007751938,0.058139537,0.10620155,2.5406976,8.584884,100.68205,99.05875,55.508,final
2021-01-21,1,900729,SN05,172.0,0.0,0.003488372,0.034883723,0.063565895,1.1627908,1.3143412,99.93028,99.433556,97.59991,final
2021-02-01,1,900729,SN05,172.0,0.0,0.0,0.034883723,0.004263566,0.13372093,0.2377907,100.0,100.61188,98.0131,final
2021-02-11,1,900729,SN05,172.0,0.0,0.0,0.0,0.003488372,0.12209302,0.22228682,100.0,99.93028,98.08142,final
2021-02-21,1,900729,SN05,172.0,0.0,0.0,0.0,0.0,0.12209302,0.22015505,100.0,100.0,98.12147,final
2021-03-01,1,900729,SN05,172.0,0.0,0.0,0.0,0.0,0.09883721,0.15406977,100.0,100.0,98.92837,final
2021-03-11,1,900729,SN05,172.0,0.0,0.0,0.0,0.0,0.058139537,0.10968992,100.0,100.0,98.99113,final
2021-03-21,1,900729,SN05,172.0,0.0,0.0,0.0,0.0,0.034883723,0.063565895,100.0,100.0,99.433556,final
2021-04-01,1,900729,SN05,172.0,0.0,0.0,0.0,0.0,0.034883723,0.004263566,100.0,100.0,100.61188,final
2021-04-11,1,900729,SN05,172.0,0.0,0.0,0.0,0.0,0.0,0.003488372,100.0,100.0,99.93028,final
2021-04-21,1,900729,SN05,172.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,final
2021-05-01,1,900729,SN05,172.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,final
2021-05-11,1,900729,SN05,172.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,final
