date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,1,900893,SS01,1404.0,2.9814816,2.1218185,6.2485757,7.472887,224.42023,179.86308,112.07083,90.18421,124.10278,final
2021-01-11,1,900893,SS01,1404.0,1.0277778,1.5896012,5.996439,6.318827,143.7913,132.80779,91.47409,97.15176,107.97018,final
2021-01-21,1,900893,SS01,1404.0,1.2179487,2.3929963,5.227208,6.104416,95.31767,82.4816,84.10594,92.10037,114.67289,final
2021-02-01,1,900893,SS01,1404.0,2.7421653,3.0123694,4.987892,6.994967,61.752846,56.474785,96.62767,83.267365,108.585724,final
2021-02-11,1,900893,SS01,1404.0,4.1980057,3.897341,8.158119,9.302707,46.072647,39.63934,103.379265,91.997406,114.41175,final
2021-02-21,1,900893,SS01,1404.0,2.781339,5.046724,9.72151,11.956434,24.60755,30.376093,77.4515,86.81961,83.69367,final
2021-03-01,1,900893,SS01,1404.0,6.4024215,11.986206,13.381765,20.930271,24.618235,35.398125,67.12754,70.88921,73.315865,final
2021-03-11,1,900893,SS01,1404.0,17.869658,14.886491,27.053417,31.91942,41.207977,47.540955,115.00098,86.81994,87.94659,final
2021-03-21,1,900893,SS01,1404.0,22.669516,22.41548,46.941597,49.288177,61.890312,67.34903,100.92661,95.67755,92.455025,final
2021-04-01,1,900893,SS01,1404.0,25.69943,34.71028,66.2386,72.01225,84.60826,99.937485,77.30852,92.502945,85.39204,final
2021-04-11,1,900893,SS01,1404.0,19.175213,44.521484,67.54416,101.64725,102.75569,142.86937,48.817627,68.02253,72.87222,final
2021-04-21,1,900893,SS01,1404.0,40.746437,46.54024,85.62108,125.77201,142.28418,187.01662,88.758675,69.297005,76.70387,final
2021-05-01,1,900893,SS01,1404.0,47.578346,47.648907,107.5,138.71063,187.12036,231.65315,99.86598,78.28231,81.18225,final
2021-05-11,1,900893,SS01,1404.0,77.90598,47.316998,166.23077,141.50615,260.82834,275.0728,158.46855,116.876175,94.91401,final
2021-05-21,1,900893,SS01,1404.0,44.520657,47.8382,170.00499,142.80411,302.56766,317.8643,93.72132,118.40333,95.262215,final
2021-06-01,1,900893,SS01,1404.0,37.685184,49.54632,160.11182,144.70152,333.85043,355.4244,78.25493,110.29401,94.01429,final
2021-06-11,1,900893,SS01,1404.0,46.75997,45.159092,128.96582,142.54361,362.74075,385.69702,103.191605,90.79744,94.12428,final
2021-06-21,1,900893,SS01,1404.0,29.24359,47.190193,113.68875,141.89561,369.31482,410.4717,65.61308,80.79803,90.09393,final
2021-07-01,1,900893,SS01,1404.0,56.735756,49.787155,132.73932,142.13644,400.35114,425.5486,112.6829,93.61333,94.14758,final
2021-07-11,1,900893,SS01,1404.0,49.575497,51.99371,135.55484,148.97105,430.75143,433.0208,95.75706,91.28654,99.4819,final
2021-07-21,1,900893,SS01,1404.0,43.214386,56.789886,149.52563,158.57076,433.21936,443.27048,78.02957,94.47021,97.7578,final
2021-08-01,1,900893,SS01,1404.0,32.232906,50.70185,125.0228,159.48544,417.87393,446.3234,66.84321,79.04821,93.696434,final
2021-08-11,1,900893,SS01,1404.0,47.73433,48.305912,123.181625,155.79765,387.70227,447.31232,98.92773,79.7161,86.821045,final
2021-08-21,1,900893,SS01,1404.0,57.95299,60.06422,137.92023,159.07199,401.13464,459.53833,96.75515,87.108246,87.42759,final
2021-09-01,1,900893,SS01,1404.0,54.653847,43.944088,160.34116,152.31422,418.1033,453.93613,121.881615,105.10248,92.1922,final
2021-09-11,1,900893,SS01,1404.0,54.419518,38.427753,167.02637,142.43607,425.76282,447.20477,136.82384,116.67862,95.258354,final
2021-09-21,1,900893,SS01,1404.0,44.42735,48.367615,153.50072,130.73946,440.94656,448.38217,92.616745,116.76835,98.35997,final
2021-10-01,1,900893,SS01,1404.0,33.53063,45.30698,132.37749,132.10236,417.74146,443.902,76.59102,100.200676,94.172325,final
2021-10-11,1,900893,SS01,1404.0,41.836895,48.999264,119.794876,142.67386,410.00284,440.90756,86.736176,84.50709,93.06925,final
2021-10-21,1,900893,SS01,1404.0,41.48718,52.674835,116.854706,146.98108,408.27563,436.7925,80.60219,80.17755,93.54519,final
2021-11-01,1,900893,SS01,1404.0,21.942308,29.009733,105.26638,130.68384,397.98505,415.1004,79.2194,81.26714,95.92589,final
2021-11-11,1,900893,SS01,1404.0,21.568377,20.682478,84.99786,102.36704,371.81912,387.47696,103.449425,83.82262,96.010506,final
