date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,1,900115,SD08,1239.0,0.010492332,0.009658326,0.010492332,0.009658326,57.40436,62.003227,100.016655,100.016655,93.13635,final
2021-01-11,1,900115,SD08,1239.0,0.011299435,0.0122948615,0.021791767,0.021953188,25.951574,30.39131,99.98015,99.996796,87.45529,final
2021-01-21,1,900115,SD08,1239.0,0.01614205,0.011837503,0.03793382,0.033790693,5.943503,5.0743074,100.08589,100.08231,108.627846,final
2021-02-01,1,900115,SD08,1239.0,0.0,5.380683e-05,0.027441485,0.024186172,1.2502018,1.2675815,99.998924,100.06479,99.7227,final
2021-02-11,1,900115,SD08,1239.0,0.0,0.0013182674,0.01614205,0.013209578,0.6085553,0.5733925,99.97364,100.058495,100.630905,final
2021-02-21,1,900115,SD08,1239.0,0.010492332,0.018159807,0.010492332,0.01953188,0.37933815,0.33723432,99.847206,99.819916,100.788864,final
2021-03-01,1,900115,SD08,1239.0,0.24051654,0.3196664,0.25100887,0.33914447,0.2889427,0.37298897,98.51213,98.34926,98.43576,final
2021-03-11,1,900115,SD08,1239.0,0.56739306,0.50992733,0.81840193,0.8477536,0.85633576,0.88291633,101.04295,99.49807,99.548164,final
2021-03-21,1,900115,SD08,1239.0,1.0952381,1.1516007,1.9031477,1.9811945,1.9515738,2.034517,99.08378,98.88204,98.82091,final
2021-04-01,1,900115,SD08,1239.0,2.3034706,2.8193974,3.9661016,4.4809256,4.244552,4.844256,93.40196,94.5699,93.9081,final
2021-04-11,1,900115,SD08,1239.0,3.039548,3.3338714,6.4382567,7.3048697,7.2728004,8.1658325,96.46834,92.95715,93.21705,final
2021-04-21,1,900115,SD08,1239.0,18.144472,6.872532,23.487492,13.025801,25.40113,15.026527,194.94133,158.03732,151.8043,final
2021-05-01,1,900115,SD08,1239.0,45.79661,19.289991,66.98064,29.496395,71.19774,34.316463,209.12569,208.66132,193.80618,final
2021-05-11,1,900115,SD08,1239.0,21.738499,19.381195,85.67958,45.54372,92.93623,53.696342,109.668526,179.4082,166.85237,final
2021-05-21,1,900115,SD08,1239.0,6.1291366,33.766666,73.664246,72.43785,99.054886,87.44485,28.708004,101.58372,112.558876,final
2021-06-01,1,900115,SD08,1239.0,44.781277,36.179394,72.64891,89.327255,143.59564,123.30457,120.88881,82.318634,115.814766,final
2021-06-11,1,900115,SD08,1239.0,43.15819,35.721954,94.0686,105.668015,186.18645,158.5166,118.261,89.51873,116.92174,final
2021-06-21,1,900115,SD08,1239.0,67.38902,43.665592,155.32849,115.56693,252.48022,201.0306,148.74785,132.97882,124.97184,final
2021-07-01,1,900115,SD08,1239.0,87.2962,53.51902,197.84341,132.90657,337.47296,251.73021,157.72,147.08755,133.398,final
2021-07-11,1,900115,SD08,1239.0,42.36804,49.753376,197.05327,146.93799,376.80145,298.14972,86.51163,132.98402,125.944855,final
2021-07-21,1,900115,SD08,1239.0,42.317192,62.212322,171.98145,165.48471,400.97418,353.4895,70.399574,103.81074,113.24576,final
2021-08-01,1,900115,SD08,1239.0,36.023407,59.54466,120.70863,171.51036,391.20096,393.74417,63.558174,71.21884,99.3622,final
