Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Chad,TCD,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.65312452830189
Chad,TCD,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.65312452830189
Chad,TCD,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.9351320754717
Chad,TCD,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.98549056603774
Chad,TCD,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.00813962264151
Chad,TCD,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.06157735849057
Chad,TCD,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.40929811320755
Chad,TCD,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.44478269230769
Chad,TCD,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.48328461538462
Chad,TCD,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.470136
Chad,TCD,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.42416129032258
Chad,TCD,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.7583488372093
Chad,TCD,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.03333333333333
Chad,TCD,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.2784375
Chad,TCD,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.64877435897436
Chad,TCD,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.32623076923077
Chad,TCD,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.41607692307692
Chad,TCD,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.54269230769231
Chad,TCD,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.32952631578947
Chad,TCD,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.73139473684211
