Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Mauritania,MRT,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,14.0555555555556
Mauritania,MRT,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,14.0555555555556
Mauritania,MRT,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,15.7013333333333
Mauritania,MRT,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,15.4048888888889
Mauritania,MRT,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,13.0424
Mauritania,MRT,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,13.5995333333333
Mauritania,MRT,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.4759333333333
Mauritania,MRT,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.93686666666667
Mauritania,MRT,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.77246666666667
Mauritania,MRT,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.69026666666667
Mauritania,MRT,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.3706
Mauritania,MRT,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.25166666666667
Mauritania,MRT,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.25073333333333
Mauritania,MRT,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.04368888888889
Mauritania,MRT,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.8772
Mauritania,MRT,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.34746666666667
Mauritania,MRT,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.94133333333333
Mauritania,MRT,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.3156
Mauritania,MRT,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.91373333333333
Mauritania,MRT,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.20951111111111
Mauritania,MRT,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.67848888888889
Mauritania,MRT,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.44444444444444
Mauritania,MRT,1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.33333333333333
Mauritania,MRT,1998,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4
Mauritania,MRT,1997,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.82666666666667
Mauritania,MRT,1996,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.1111111111111
Mauritania,MRT,1995,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.88888888888889
Mauritania,MRT,1994,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.88888888888889
Mauritania,MRT,1993,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.6914153132251
Mauritania,MRT,1992,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,17.3404761904762
Mauritania,MRT,1991,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,12.5609756097561
Mauritania,MRT,1990,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.75
Mauritania,MRT,1989,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.05263157894737
Mauritania,MRT,1988,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.88888888888889
Mauritania,MRT,1987,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.23529411764706
Mauritania,MRT,1986,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.125
Mauritania,MRT,1985,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.7
Mauritania,MRT,1984,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.92857142857143
Mauritania,MRT,1983,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.62962962962963
Mauritania,MRT,1982,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.4
Mauritania,MRT,1980,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.19047619047619
Mauritania,MRT,1979,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.7692307692308
Mauritania,MRT,1978,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.4427083333333
Mauritania,MRT,1977,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.734693877551
Mauritania,MRT,1976,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.56410256410256
Mauritania,MRT,1975,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.98958333333333
Mauritania,MRT,1974,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.45408163265306
Mauritania,MRT,1973,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.97787610619469
Mauritania,MRT,1970,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.07913669064748
Mauritania,MRT,1969,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.719424460431655
Mauritania,MRT,1968,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.746268656716418
Mauritania,MRT,1967,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.374531835205993
Mauritania,MRT,1966,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.18796992481203
Mauritania,MRT,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,396900
Mauritania,MRT,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,396780
Mauritania,MRT,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,396660
Mauritania,MRT,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,396560
Mauritania,MRT,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,396350
Mauritania,MRT,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,396150
Mauritania,MRT,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,395950
Mauritania,MRT,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,395750
Mauritania,MRT,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,395550
Mauritania,MRT,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,395350
Mauritania,MRT,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,395240
Mauritania,MRT,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,395040
Mauritania,MRT,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,394840
Mauritania,MRT,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,394640
Mauritania,MRT,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,394490
