Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Niger,NER,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.467825988700565
Niger,NER,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.469225423728814
Niger,NER,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.586468361581921
Niger,NER,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.844590395480226
Niger,NER,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.694769491525424
Niger,NER,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.381645197740113
Niger,NER,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.386006857142857
Niger,NER,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.406191071428571
Niger,NER,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.999243452380952
Niger,NER,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.637150595238095
Niger,NER,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.923294968553459
Niger,NER,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.485641025641026
Niger,NER,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.496026490066225
Niger,NER,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.353489932885906
Niger,NER,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.153418230563003
Niger,NER,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.354907872696817
Niger,NER,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.527622550753342
Niger,NER,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.387665510160731
Niger,NER,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.239985820630982
Niger,NER,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.293665480427046
Niger,NER,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.611819484240688
Niger,NER,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.356621331424481
Niger,NER,2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.323720930232558
