Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Senegal,SEN,2022,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,803.966040656478
Senegal,SEN,2021,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,131.792608475953
Senegal,SEN,2020,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,399.863926069135
Senegal,SEN,2019,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,262.283136209208
Senegal,SEN,2018,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,98.7015106145832
Senegal,SEN,2017,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,129.718767348054
Senegal,SEN,2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,279.550984008594
Senegal,SEN,2015,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,334.593935460776
Senegal,SEN,2014,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,543.745694321425
Senegal,SEN,2013,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,759.569871034162
Senegal,SEN,2012,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,549.069206750721
Senegal,SEN,2011,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,488.505560217075
Senegal,SEN,2010,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1360.17106325413
Senegal,SEN,2009,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1660.13605442177
Senegal,SEN,2008,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,90.5015197568389
Senegal,SEN,2007,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,32.184391938115
Senegal,SEN,2006,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,133.659930598081
Senegal,SEN,2005,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,68.6048580834594
Senegal,SEN,2004,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,70.4544189412354
Senegal,SEN,2003,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,54.5182566124975
Senegal,SEN,2002,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,82.1301369863014
Senegal,SEN,2001,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,51.6407599309154
Senegal,SEN,2000,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,73.7451737451737
Senegal,SEN,1999,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,54.3884892086331
Senegal,SEN,1998,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,24.0827845719661
Senegal,SEN,1997,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,26.8149882903981
Senegal,SEN,1996,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,35.8803986710963
Senegal,SEN,1995,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,23.7536656891496
Senegal,SEN,1994,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,42.3895253682488
Senegal,SEN,1993,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,38.7096774193548
Senegal,SEN,1992,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,29.3103448275862
Senegal,SEN,1991,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,22.7164069009794
Senegal,SEN,1990,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,18.0936248845088
Senegal,SEN,1989,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,32.9161118508655
Senegal,SEN,1988,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,49.2631578947368
Senegal,SEN,1987,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,37.0588235294118
Senegal,SEN,1986,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,43.9359267734554
Senegal,SEN,1985,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,34.375
Senegal,SEN,1984,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,45.5696202531646
Senegal,SEN,1983,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,97.3821989528796
Senegal,SEN,1982,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,96.8421052631579
Senegal,SEN,1981,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,80.4635761589404
Senegal,SEN,1980,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,62.1794871794872
Senegal,SEN,1979,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,87.8787878787879
Senegal,SEN,1978,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,93.524798643493
Senegal,SEN,1977,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,155.973960941412
Senegal,SEN,1976,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,133
Senegal,SEN,1975,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,165.156794425087
Senegal,SEN,1974,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,136.749116607774
Senegal,SEN,1973,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,79.1278113000548
Senegal,SEN,1972,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,51.1029291974846
Senegal,SEN,1971,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,52.8849902534113
Senegal,SEN,1970,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,36.6367339381596
Senegal,SEN,1969,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,54.2558486809358
Senegal,SEN,1968,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,111.011687363039
Senegal,SEN,1967,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,623.537735849057
Senegal,SEN,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,18.5241122715405
Senegal,SEN,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.8391409921671
Senegal,SEN,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,21.565248
Senegal,SEN,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,18.5655935397039
Senegal,SEN,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,14.6619565217391
Senegal,SEN,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,30.3546008230453
Senegal,SEN,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,19.1035540166205
Senegal,SEN,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,14.218878248974
Senegal,SEN,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.3848484848485
Senegal,SEN,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,12.0060606060606
Senegal,SEN,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.5242424242424
Senegal,SEN,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.82757575757576
Senegal,SEN,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.61022099447514
Senegal,SEN,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.7414364640884
Senegal,SEN,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.30303867403315
Senegal,SEN,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.1459649122807
Senegal,SEN,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.30725863284003
Senegal,SEN,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.86628278950736
Senegal,SEN,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,12.7117509206562
Senegal,SEN,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.9386084583902
Senegal,SEN,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.7944262295082
Senegal,SEN,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.64827363665699
Senegal,SEN,2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.4990969295605
Senegal,SEN,1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.094804813619
Senegal,SEN,1998,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.53445065176909
Senegal,SEN,1997,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.79441797140912
Senegal,SEN,1996,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.71433012123096
Senegal,SEN,1995,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.26486837829054
Senegal,SEN,1994,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.14977973568282
Senegal,SEN,1993,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.78715120051914
Senegal,SEN,1992,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.58475689881735
Senegal,SEN,1991,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.59367642112344
Senegal,SEN,1990,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.80012936610608
Senegal,SEN,1989,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,3.99482870071105
Senegal,SEN,1988,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.55326016785023
Senegal,SEN,1987,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.0889175257732
Senegal,SEN,1986,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.17959446411329
Senegal,SEN,1985,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.01286173633441
