Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Cameroon,CMR,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,97500
Cameroon,CMR,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,97500
Cameroon,CMR,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,97500
Cameroon,CMR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,97500
Cameroon,CMR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,97500
Cameroon,CMR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,97500
Cameroon,CMR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,97500
Cameroon,CMR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,97500
Cameroon,CMR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,97500
Cameroon,CMR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,97500
Cameroon,CMR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,97500
Cameroon,CMR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,97000
Cameroon,CMR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,93130
Cameroon,CMR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,92630
Cameroon,CMR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,92130
Cameroon,CMR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,92130
Cameroon,CMR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,92130
Cameroon,CMR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,92100
Cameroon,CMR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Cameroon,CMR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Cameroon,CMR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Cameroon,CMR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Cameroon,CMR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Cameroon,CMR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Cameroon,CMR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Cameroon,CMR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Cameroon,CMR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Cameroon,CMR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Cameroon,CMR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Cameroon,CMR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Cameroon,CMR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,91500
Cameroon,CMR,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,91700
Cameroon,CMR,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,91900
Cameroon,CMR,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,92100
Cameroon,CMR,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,92100
Cameroon,CMR,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,92300
Cameroon,CMR,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,91600
Cameroon,CMR,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,91100
Cameroon,CMR,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,90600
Cameroon,CMR,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,90100
Cameroon,CMR,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,89600
Cameroon,CMR,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,89300
Cameroon,CMR,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,89120
Cameroon,CMR,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,86710
Cameroon,CMR,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,86440
Cameroon,CMR,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,85100
Cameroon,CMR,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,83950
Cameroon,CMR,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,82800
Cameroon,CMR,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,81600
Cameroon,CMR,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,80950
Cameroon,CMR,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,80280
Cameroon,CMR,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,79780
Cameroon,CMR,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,79700
Cameroon,CMR,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,79200
Cameroon,CMR,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,78700
Cameroon,CMR,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,78000
Cameroon,CMR,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,77400
Cameroon,CMR,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,76800
Cameroon,CMR,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,76200
Cameroon,CMR,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,75700
Cameroon,CMR,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,75100
Cameroon,CMR,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.6257536333058
Cameroon,CMR,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.6257536333058
Cameroon,CMR,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.6257536333058
Cameroon,CMR,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.6257536333058
Cameroon,CMR,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.6257536333058
Cameroon,CMR,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.6257536333058
Cameroon,CMR,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.6257536333058
Cameroon,CMR,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.6257536333058
Cameroon,CMR,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.6257536333058
Cameroon,CMR,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.6257536333058
Cameroon,CMR,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.6257536333058
Cameroon,CMR,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.6257536333058
Cameroon,CMR,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.5199805377504
Cameroon,CMR,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.7012967781515
Cameroon,CMR,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.5955236825961
Cameroon,CMR,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.4897505870407
Cameroon,CMR,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.4897505870407
Cameroon,CMR,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.4897505870407
Cameroon,CMR,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.4834042013074
Cameroon,CMR,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3776311057519
Cameroon,CMR,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3776311057519
Cameroon,CMR,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3776311057519
Cameroon,CMR,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3776311057519
Cameroon,CMR,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3776311057519
Cameroon,CMR,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3776311057519
Cameroon,CMR,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3776311057519
Cameroon,CMR,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3776311057519
Cameroon,CMR,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3776311057519
Cameroon,CMR,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3776311057519
Cameroon,CMR,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3776311057519
Cameroon,CMR,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3776311057519
Cameroon,CMR,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3564764866409
Cameroon,CMR,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.398785724863
Cameroon,CMR,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.4410949630852
Cameroon,CMR,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.4834042013074
Cameroon,CMR,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.4834042013074
Cameroon,CMR,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.5257134395295
Cameroon,CMR,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3776311057519
Cameroon,CMR,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.2718580101965
Cameroon,CMR,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.1660849146411
Cameroon,CMR,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.0603118190857
Cameroon,CMR,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.9545387235303
Cameroon,CMR,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.891074866197
Cameroon,CMR,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.8529965517971
Cameroon,CMR,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.34317023122
Cameroon,CMR,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.2860527596201
Cameroon,CMR,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.0025808635316
Cameroon,CMR,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.7593027437541
Cameroon,CMR,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.5160246239766
Cameroon,CMR,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.2621691946437
Cameroon,CMR,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.1246641704216
Cameroon,CMR,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.9829282223774
Cameroon,CMR,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.8771551268219
Cameroon,CMR,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.8602314315331
Cameroon,CMR,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.7544583359777
Cameroon,CMR,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.6486852404222
Cameroon,CMR,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.5006029066447
Cameroon,CMR,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.3736751919782
Cameroon,CMR,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.2467474773117
Cameroon,CMR,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.1198197626452
Cameroon,CMR,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.0140466670898
Cameroon,CMR,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,15.8871189524233
Cameroon,CMR,2022,Arable land (% of land area),AG.LND.ARBL.ZS,13.1158638488714
Cameroon,CMR,2021,Arable land (% of land area),AG.LND.ARBL.ZS,13.1158638488714
Cameroon,CMR,2020,Arable land (% of land area),AG.LND.ARBL.ZS,13.1158638488714
Cameroon,CMR,2019,Arable land (% of land area),AG.LND.ARBL.ZS,13.1158638488714
Cameroon,CMR,2018,Arable land (% of land area),AG.LND.ARBL.ZS,13.1158638488714
Cameroon,CMR,2017,Arable land (% of land area),AG.LND.ARBL.ZS,13.1158638488714
Cameroon,CMR,2016,Arable land (% of land area),AG.LND.ARBL.ZS,13.1158638488714
Cameroon,CMR,2015,Arable land (% of land area),AG.LND.ARBL.ZS,13.1158638488714
Cameroon,CMR,2014,Arable land (% of land area),AG.LND.ARBL.ZS,13.1158638488714
Cameroon,CMR,2013,Arable land (% of land area),AG.LND.ARBL.ZS,13.1158638488714
Cameroon,CMR,2012,Arable land (% of land area),AG.LND.ARBL.ZS,13.1158638488714
Cameroon,CMR,2011,Arable land (% of land area),AG.LND.ARBL.ZS,13.1158638488714
Cameroon,CMR,2010,Arable land (% of land area),AG.LND.ARBL.ZS,13.1158638488714
Cameroon,CMR,2009,Arable land (% of land area),AG.LND.ARBL.ZS,12.6144993759387
Cameroon,CMR,2008,Arable land (% of land area),AG.LND.ARBL.ZS,12.6144993759387
Cameroon,CMR,2007,Arable land (% of land area),AG.LND.ARBL.ZS,12.6144993759387
Cameroon,CMR,2006,Arable land (% of land area),AG.LND.ARBL.ZS,12.6144993759387
Cameroon,CMR,2005,Arable land (% of land area),AG.LND.ARBL.ZS,12.6144993759387
Cameroon,CMR,2004,Arable land (% of land area),AG.LND.ARBL.ZS,12.6081529902054
Cameroon,CMR,2003,Arable land (% of land area),AG.LND.ARBL.ZS,12.6081529902054
Cameroon,CMR,2002,Arable land (% of land area),AG.LND.ARBL.ZS,12.6081529902054
Cameroon,CMR,2001,Arable land (% of land area),AG.LND.ARBL.ZS,12.6081529902054
Cameroon,CMR,2000,Arable land (% of land area),AG.LND.ARBL.ZS,12.6081529902054
Cameroon,CMR,1999,Arable land (% of land area),AG.LND.ARBL.ZS,12.6081529902054
Cameroon,CMR,1998,Arable land (% of land area),AG.LND.ARBL.ZS,12.6081529902054
Cameroon,CMR,1997,Arable land (% of land area),AG.LND.ARBL.ZS,12.6081529902054
Cameroon,CMR,1996,Arable land (% of land area),AG.LND.ARBL.ZS,12.6081529902054
Cameroon,CMR,1995,Arable land (% of land area),AG.LND.ARBL.ZS,12.6081529902054
Cameroon,CMR,1994,Arable land (% of land area),AG.LND.ARBL.ZS,12.6081529902054
Cameroon,CMR,1993,Arable land (% of land area),AG.LND.ARBL.ZS,12.6081529902054
Cameroon,CMR,1992,Arable land (% of land area),AG.LND.ARBL.ZS,12.6081529902054
Cameroon,CMR,1991,Arable land (% of land area),AG.LND.ARBL.ZS,12.5869983710943
Cameroon,CMR,1990,Arable land (% of land area),AG.LND.ARBL.ZS,12.5658437519832
Cameroon,CMR,1989,Arable land (% of land area),AG.LND.ARBL.ZS,12.5658437519832
Cameroon,CMR,1988,Arable land (% of land area),AG.LND.ARBL.ZS,12.5658437519832
Cameroon,CMR,1987,Arable land (% of land area),AG.LND.ARBL.ZS,12.5446891328722
Cameroon,CMR,1986,Arable land (% of land area),AG.LND.ARBL.ZS,12.5446891328722
Cameroon,CMR,1985,Arable land (% of land area),AG.LND.ARBL.ZS,12.50237989465
Cameroon,CMR,1984,Arable land (% of land area),AG.LND.ARBL.ZS,12.50237989465
Cameroon,CMR,1983,Arable land (% of land area),AG.LND.ARBL.ZS,12.50237989465
Cameroon,CMR,1982,Arable land (% of land area),AG.LND.ARBL.ZS,12.50237989465
Cameroon,CMR,1981,Arable land (% of land area),AG.LND.ARBL.ZS,12.50237989465
Cameroon,CMR,1980,Arable land (% of land area),AG.LND.ARBL.ZS,12.50237989465
Cameroon,CMR,1979,Arable land (% of land area),AG.LND.ARBL.ZS,12.4769943517167
Cameroon,CMR,1978,Arable land (% of land area),AG.LND.ARBL.ZS,11.9290897167397
Cameroon,CMR,1977,Arable land (% of land area),AG.LND.ARBL.ZS,11.9862071883396
Cameroon,CMR,1976,Arable land (% of land area),AG.LND.ARBL.ZS,11.8465867022064
Cameroon,CMR,1975,Arable land (% of land area),AG.LND.ARBL.ZS,11.740813606651
Cameroon,CMR,1974,Arable land (% of land area),AG.LND.ARBL.ZS,11.6350405110956
Cameroon,CMR,1973,Arable land (% of land area),AG.LND.ARBL.ZS,11.5292674155402
Cameroon,CMR,1972,Arable land (% of land area),AG.LND.ARBL.ZS,11.5292674155402
Cameroon,CMR,1971,Arable land (% of land area),AG.LND.ARBL.ZS,11.5292674155402
Cameroon,CMR,1970,Arable land (% of land area),AG.LND.ARBL.ZS,11.4234943199848
Cameroon,CMR,1969,Arable land (% of land area),AG.LND.ARBL.ZS,11.4234943199848
Cameroon,CMR,1968,Arable land (% of land area),AG.LND.ARBL.ZS,11.3177212244294
Cameroon,CMR,1967,Arable land (% of land area),AG.LND.ARBL.ZS,11.2119481288739
Cameroon,CMR,1966,Arable land (% of land area),AG.LND.ARBL.ZS,11.1061750333185
