Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Chad,TCD,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,503380
Chad,TCD,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,503380
Chad,TCD,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,503380
Chad,TCD,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,503380
Chad,TCD,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,503380
Chad,TCD,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,503380
Chad,TCD,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,502370
Chad,TCD,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,502360
Chad,TCD,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,500360
Chad,TCD,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,496850
Chad,TCD,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,493350
Chad,TCD,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,492350
Chad,TCD,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,490350
Chad,TCD,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,489310
Chad,TCD,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,489310
Chad,TCD,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,489300
Chad,TCD,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,489300
Chad,TCD,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,488300
Chad,TCD,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,488300
Chad,TCD,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,487300
Chad,TCD,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,487300
Chad,TCD,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,486300
Chad,TCD,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,486300
Chad,TCD,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,486300
Chad,TCD,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,486300
Chad,TCD,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,484300
Chad,TCD,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,484500
Chad,TCD,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,484200
Chad,TCD,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,484000
