Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Djibouti,DJI,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,17039
Djibouti,DJI,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,17039
Djibouti,DJI,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,17029
Djibouti,DJI,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,17028
Djibouti,DJI,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,17023
Djibouti,DJI,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,17020
Djibouti,DJI,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,17019
Djibouti,DJI,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,17022
Djibouti,DJI,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,17020
Djibouti,DJI,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,17017
Djibouti,DJI,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,17017
Djibouti,DJI,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,17017
Djibouti,DJI,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,17016
Djibouti,DJI,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,16816
Djibouti,DJI,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,16016
Djibouti,DJI,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,15516
Djibouti,DJI,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,15016
Djibouti,DJI,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,15016
Djibouti,DJI,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,14816
Djibouti,DJI,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,14516
Djibouti,DJI,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,14015
Djibouti,DJI,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,14015
Djibouti,DJI,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,13715
Djibouti,DJI,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,13365
Djibouti,DJI,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,12990
Djibouti,DJI,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,13010
Djibouti,DJI,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.5073339085419
Djibouti,DJI,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.5073339085419
Djibouti,DJI,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.5073339085419
Djibouti,DJI,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4641932700604
Djibouti,DJI,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4598792062122
Djibouti,DJI,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4598792062122
Djibouti,DJI,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4598792062122
Djibouti,DJI,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4598792062122
Djibouti,DJI,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4598792062122
Djibouti,DJI,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4598792062122
Djibouti,DJI,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4598792062122
Djibouti,DJI,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4598792062122
Djibouti,DJI,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4383088869715
Djibouti,DJI,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4253666954271
Djibouti,DJI,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4210526315789
Djibouti,DJI,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4339948231234
Djibouti,DJI,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4253666954271
Djibouti,DJI,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4124245038827
Djibouti,DJI,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4124245038827
Djibouti,DJI,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4124245038827
Djibouti,DJI,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.4081104400345
Djibouti,DJI,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.5452976704055
Djibouti,DJI,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.0940465918896
Djibouti,DJI,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.9370146678171
Djibouti,DJI,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7799827437446
Djibouti,DJI,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.7799827437446
Djibouti,DJI,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.9171699741156
Djibouti,DJI,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.6229508196721
Djibouti,DJI,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.4616048317515
Djibouti,DJI,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.4616048317515
Djibouti,DJI,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.167385677308
Djibouti,DJI,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.6574633304573
Djibouti,DJI,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.0396893874029
Djibouti,DJI,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1259706643658
Djibouti,DJI,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1259706643658
Djibouti,DJI,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1259706643658
Djibouti,DJI,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1259706643658
Djibouti,DJI,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1259706643658
Djibouti,DJI,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1259706643658
Djibouti,DJI,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1259706643658
Djibouti,DJI,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1259706643658
Djibouti,DJI,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1259706643658
Djibouti,DJI,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1259706643658
Djibouti,DJI,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1259706643658
Djibouti,DJI,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.1259706643658
