Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Mauritania,MRT,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
Mauritania,MRT,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,397100
