Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Somalia,SOM,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,441290
Somalia,SOM,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,441280
Somalia,SOM,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,441270
Somalia,SOM,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,441260
Somalia,SOM,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,441260
Somalia,SOM,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,441260
Somalia,SOM,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,441260
Somalia,SOM,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,441260
Somalia,SOM,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,441260
Somalia,SOM,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,440260
Somalia,SOM,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,440260
Somalia,SOM,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,441260
Somalia,SOM,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,441260
Somalia,SOM,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,441260
Somalia,SOM,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,440260
Somalia,SOM,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,440760
Somalia,SOM,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,441260
Somalia,SOM,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,441570
Somalia,SOM,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,441090
Somalia,SOM,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,440900
Somalia,SOM,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,440710
Somalia,SOM,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,440670
Somalia,SOM,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,440670
Somalia,SOM,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,440670
Somalia,SOM,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,440660
Somalia,SOM,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,440610
Somalia,SOM,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,440560
Somalia,SOM,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,440500
Somalia,SOM,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,440440
Somalia,SOM,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,440430
Somalia,SOM,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,440420
Somalia,SOM,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,440420
Somalia,SOM,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,440400
Somalia,SOM,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,440390
Somalia,SOM,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,440350
Somalia,SOM,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,440300
Somalia,SOM,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,440250
Somalia,SOM,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,440200
Somalia,SOM,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,440150
Somalia,SOM,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,440100
Somalia,SOM,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,440050
Somalia,SOM,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,440000
Somalia,SOM,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,439950
Somalia,SOM,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,439900
Somalia,SOM,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,439850
Somalia,SOM,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,439800
Somalia,SOM,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,439750
Somalia,SOM,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,439700
Somalia,SOM,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,439650
Somalia,SOM,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,439600
Somalia,SOM,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,439550
Somalia,SOM,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,439500
Somalia,SOM,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,439450
Somalia,SOM,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,439400
Somalia,SOM,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,439350
Somalia,SOM,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,439300
Somalia,SOM,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,439250
Somalia,SOM,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,439200
Somalia,SOM,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,439150
Somalia,SOM,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,439100
Somalia,SOM,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,439050
Somalia,SOM,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3430356744349
Somalia,SOM,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3430356744349
Somalia,SOM,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3414416424905
Somalia,SOM,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3398476105461
Somalia,SOM,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1788503841617
Somalia,SOM,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1788503841617
Somalia,SOM,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1788503841617
Somalia,SOM,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2585519813817
Somalia,SOM,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3876685688781
Somalia,SOM,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3111550355469
Somalia,SOM,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2808684286033
Somalia,SOM,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2505818216597
Somalia,SOM,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2442056938821
Somalia,SOM,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2442056938821
Somalia,SOM,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2442056938821
Somalia,SOM,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2426116619377
Somalia,SOM,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2346415022157
Somalia,SOM,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2266713424937
Somalia,SOM,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2171071508273
Somalia,SOM,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2075429591609
Somalia,SOM,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2059489272165
Somalia,SOM,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2043548952721
Somalia,SOM,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2043548952721
Somalia,SOM,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2011668313833
Somalia,SOM,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1995727994389
Somalia,SOM,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1931966716613
Somalia,SOM,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1852265119393
Somalia,SOM,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1772563522173
Somalia,SOM,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1692861924953
Somalia,SOM,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1613160327733
Somalia,SOM,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1533458730513
Somalia,SOM,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1453757133293
Somalia,SOM,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1374055536073
Somalia,SOM,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1294353938853
Somalia,SOM,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1214652341633
Somalia,SOM,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1134950744413
Somalia,SOM,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1055249147193
Somalia,SOM,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0975547549973
Somalia,SOM,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0895845952753
Somalia,SOM,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0816144355533
Somalia,SOM,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0736442758313
Somalia,SOM,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0656741161093
Somalia,SOM,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0577039563873
Somalia,SOM,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0497337966653
Somalia,SOM,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0417636369433
Somalia,SOM,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0337934772213
Somalia,SOM,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0258233174993
Somalia,SOM,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0178531577773
Somalia,SOM,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0098829980553
Somalia,SOM,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.0019128383333
Somalia,SOM,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.9939426786113
Somalia,SOM,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,69.9859725188893
Somalia,SOM,2022,Arable land (% of land area),AG.LND.ARBL.ZS,1.75343513884018
Somalia,SOM,2021,Arable land (% of land area),AG.LND.ARBL.ZS,1.75343513884018
Somalia,SOM,2020,Arable land (% of land area),AG.LND.ARBL.ZS,1.75343513884018
Somalia,SOM,2019,Arable land (% of land area),AG.LND.ARBL.ZS,1.75343513884018
Somalia,SOM,2018,Arable land (% of land area),AG.LND.ARBL.ZS,1.75343513884018
